#      	Open      	High	        Low      	Close	        Volume	Date
1	16.660000	16.660000	16.660000	16.660000	1260000	1950-01-03
2	16.850000	16.850000	16.850000	16.850000	1890000	1950-01-04
3	16.930000	16.930000	16.930000	16.930000	2550000	1950-01-05
4	16.980000	16.980000	16.980000	16.980000	2010000	1950-01-06
5	17.080000	17.080000	17.080000	17.080000	2520000	1950-01-09
6	17.030001	17.030001	17.030001	17.030001	2160000	1950-01-10
7	17.090000	17.090000	17.090000	17.090000	2630000	1950-01-11
8	16.760000	16.760000	16.760000	16.760000	2970000	1950-01-12
9	16.670000	16.670000	16.670000	16.670000	3330000	1950-01-13
10	16.719999	16.719999	16.719999	16.719999	1460000	1950-01-16
11	16.860001	16.860001	16.860001	16.860001	1790000	1950-01-17
12	16.850000	16.850000	16.850000	16.850000	1570000	1950-01-18
13	16.870001	16.870001	16.870001	16.870001	1170000	1950-01-19
14	16.900000	16.900000	16.900000	16.900000	1440000	1950-01-20
15	16.920000	16.920000	16.920000	16.920000	1340000	1950-01-23
16	16.860001	16.860001	16.860001	16.860001	1250000	1950-01-24
17	16.740000	16.740000	16.740000	16.740000	1700000	1950-01-25
18	16.730000	16.730000	16.730000	16.730000	1150000	1950-01-26
19	16.820000	16.820000	16.820000	16.820000	1250000	1950-01-27
20	17.020000	17.020000	17.020000	17.020000	1640000	1950-01-30
21	17.049999	17.049999	17.049999	17.049999	1690000	1950-01-31
22	17.049999	17.049999	17.049999	17.049999	1810000	1950-02-01
23	17.230000	17.230000	17.230000	17.230000	2040000	1950-02-02
24	17.290001	17.290001	17.290001	17.290001	2210000	1950-02-03
25	17.320000	17.320000	17.320000	17.320000	1490000	1950-02-06
26	17.230000	17.230000	17.230000	17.230000	1360000	1950-02-07
27	17.209999	17.209999	17.209999	17.209999	1470000	1950-02-08
28	17.280001	17.280001	17.280001	17.280001	1810000	1950-02-09
29	17.240000	17.240000	17.240000	17.240000	1790000	1950-02-10
30	17.059999	17.059999	17.059999	17.059999	2210000	1950-02-14
31	17.059999	17.059999	17.059999	17.059999	1730000	1950-02-15
32	16.990000	16.990000	16.990000	16.990000	1920000	1950-02-16
33	17.150000	17.150000	17.150000	17.150000	1940000	1950-02-17
34	17.200001	17.200001	17.200001	17.200001	1420000	1950-02-20
35	17.170000	17.170000	17.170000	17.170000	1260000	1950-02-21
36	17.209999	17.209999	17.209999	17.209999	1310000	1950-02-23
37	17.280001	17.280001	17.280001	17.280001	1710000	1950-02-24
38	17.280001	17.280001	17.280001	17.280001	1410000	1950-02-27
39	17.219999	17.219999	17.219999	17.219999	1310000	1950-02-28
40	17.240000	17.240000	17.240000	17.240000	1410000	1950-03-01
41	17.230000	17.230000	17.230000	17.230000	1340000	1950-03-02
42	17.290001	17.290001	17.290001	17.290001	1520000	1950-03-03
43	17.320000	17.320000	17.320000	17.320000	1470000	1950-03-06
44	17.200001	17.200001	17.200001	17.200001	1590000	1950-03-07
45	17.190001	17.190001	17.190001	17.190001	1360000	1950-03-08
46	17.070000	17.070000	17.070000	17.070000	1330000	1950-03-09
47	17.090000	17.090000	17.090000	17.090000	1260000	1950-03-10
48	17.120001	17.120001	17.120001	17.120001	1060000	1950-03-13
49	17.250000	17.250000	17.250000	17.250000	1140000	1950-03-14
